Categories,Organization,Location,Funding Received,Investment Received,Year of Receiving,Key People,Affiliations,Partnership or Unidentified Collaboration,Website Link,Revenue and Expenses Year,Revenue and Expenses,Grants Given,Year of Grants Given,Number of Employees,Twitter Handle,Number of Twitter Followers,Type
General,GovLab,"New York, NY",MacArthur Foundation:null; Knight Foundation:null; Google:null,null,null,Beth Noveck,New York University; Robert F. Wagner Graduate School of Public Service,MIT Media Lab; Open Government Partnership,http://wagner.nyu.edu/centers/govlab,null,null,null,null,26,@TheGovLab,4288,For-Profit
General,MacArthur Foundation,"Chicago, IL",null,null,null,Robert Gallucci,Research Network on Opening Governance,null,http://www.macfound.org,2012,Revenue:454513951; Expenses:297907427,GovLab:null; TOTAL:236557004,2012,47,@macfound,45579,Non-Profit
Data and Transparency,Palantir,"Palo Alto, CA",null,null,null,"Alexander Karp, Peter Thiel, Joe Lonsdale, Stephen Cohen, Nathan Gettings",Philanthropy Engineering,Google; Department of State; White House,http://www.palantir.com,null,null,null,null,17,@PalantirTech,10729,For-Profit
General,Microsoft,"Redmond, WA",null,null,null,"Bill Gates, Paul Allen, Satya Nadella, John Farmer, Annmarie Levins, Dan'l Lewin, Cathy Wissink, Adam Hecktman, danah boyd",Corporate Citizenship; Technology and Civic Engagement; Technology and Civic Innovation,null,http://www.microsoft.com,2013,Revenue:773100000,"New York Tech Meetup, Personal Democracy Forum, White House",null,127104,@Microsoft,5045284,For-Profit
General,Google,"Mountain View, CA",null,null,null,"Larry Page, Sergey Brin, Jared Cohen, Ginny Hunt, Eric Schmidt",Google Ideas; Google Civic Innovation,National League of Cities University Leadership Summit; Palantir,https://www.google.com,2013,Budget:585700000,GovLab,null,19786,@google,8674305,For-Profit
Smart and Resilient Cities,MoveOn.org,"Berkeley, CA",Total:4146950,null,2011,Justin Ruben,null,null,http://front.moveon.org,2011,Revenue:4267294; Expenses:3662490,468975,2011,29,@MoveOn,117261,Non-Profit
"21st Century Jobs and Opportunities, Smart and Resilient Cities",New York City Economic Development Corporation,"New York, NY",Total:497497165,null,2011,Kim Vaccari,null,Microsoft,http://www.nycedc.com,2011,Revenue:664016417; Expenses:648209240,69401,2011,540,@NYCEDC,18341,Non-Profit
Data and Transparency,Socrata ,"Seattle, WA; Washington, DC; Berkshire, United Kingdom",null,OpenView Venture Partners:null; Frazier Technology Ventures:null; Morgenthaler Ventures:null,null,Kevin Merritt,null,Microsoft; Deloitte.; Social Solutions; Safe Software; Civic Insight; White House,http://www.socrata.com,null,null,null,null,10,@socrata,3266,For-Profit
21st Century Jobs and Opportunities,CivicLab,"Chicago, IL",Voqal Fund:23000; Individuals:23301,null,null,Tom Tresser,null,Investigative News Network; Chicago Votes; The Young Invincibles; Moms United Against Violence and Incarceration; Move to Amend; The New Organizing Institute; The Roosevelt Institute; The Chicago Area Fair Housing Alliance; Restore the Fourth; The TIF Illumination Project,http://www.civiclab.us/,null,null,null,null,16,@CivicLabChicago,811,Non-Profit
General,Ford Foundation,"New York, NY",null,null,null,"Irene Hirano Inouye, Darren Walker, Kofi Appenteng, Tim Berners-Lee, Martin Eakes, Amy C. Falls, Juliet V. Garcia, J. Clifford Hudson, Robert S. Kaplan, Lourdes Lopez, Thurgood Marshall Jr., N. R. Narayana Murthy, Peter A. Nadosy, Cecile RIchards, Darren Walker, Tim Berners-Lee",null,null,http://www.fordfoundation.org/ ,2011,Revenue:453789109; Expenses:616826363,985986563,2011,94,@FordFoundation,39751,Non-Profit
General,Rockefeller Foundation,"New York, NY",null,null,null,"David Rockefeller Jr., Judith Rodin",null,null,http://www.rockefellerfoundation.org,2012,Revenue:298878207; Expenses:199357310,Ash Center for Democratic Governance and Innovation:684500; New York University:null; Code for America:200000; TOTAL:51359984,2012,214,@RockefellerFdn,51308,Non-Profit
General,ITP,"New York, NY",null,null,null,"Dan O'Sullivan, Clay Shirky",New York University,null,http://itp.nyu.edu/itp/ ,null,null,null,null,26,@ITP_NYU,3284,Non-Profit
Data and Transparency,Open Data Institute,"London, London, United Kingdom","NTT DATA UK Ltd:null; Rackspace:null; Socrata:null; Which?:null; BPE Lawyers:null; 100%Open:null; 4sl Group:null; AIMES Grid Services:null; Amor Group:null; BES, Manchester Business School:null; Bright Blue:null; Cogent Analytics:null; Crowdmixx Labs:null; Datactics:null; Dialogue by Design:null; Doorda:null; EcoDesk:null; FlyingBinary:null; Horizon Digital Economy Research Institute, University of Nottingham:null; IMAGES&Co:null; import.io:null; JC Analytics:null; Dr Mark Cote King's College London:null; Lokku:null; Matrix Knowledge:null; Oasis Loss Modelling Framework:null; OCSI:null; Royal Statistical Society:null; ScraperWiki:null; Sibdocity:null; Snips:null; Systems in Context Ltd:null; The Audience Agency:null; The Server Labs:null; theblueballroom:null; Omidyar Network:800847",null,2013,"Tim Berners-Lee, Nigel Shadbolt, Gavin Starks",null,Quanta Computer; Telefonica; Virgin Media; Deloitte; Arup; EyeHub; Mydex Data Services; RateSetter,http://theodi.org,2013,Income:12131981,null,null,32,@UKODI,9741,Non-Profit
Data and Transparency,Open Knowledge Foundation,"Cambridge, Cambridgeshire, United Kingdom",Knight Foundation:null; Hewlett Foundation:null; Omidyar Network:null; Sloan Foundation:null; Shuttleworth:null; National Endowment for Democracy:null,null,null,"Laura James, Karin Christiansen",null,null,http://us.okfn.org,null,null,null,null,38,@OKFN,19871,Non-Profit
General,MIT Media Lab,"Cambridge, MA","Cisco Systems, Inc.:null; Intel:null; NEC Corporation:null; Shell:null; Volkswagen Group of America, Inc.:null; Alfred P. Sloan Foundation:null; Allen Institute for Brain Science:null; Andrew W. Mellon Foundation:null; Austrian Institute of Technology:null; Boston University / NIH, NSF:null; Brigham and Women's Hospital / NIH:null; Center for Integration of Medicine and Innovative Technology:null; Damon Runyon Cancer Research Foundation:null; Dartmouth College / Office of Naval Research:null; Defense Advanced Research Projects Agency:null; Ferro Solutions, Inc. / NIH:null; German Ministry of Education and Research:null; Harvard University / Ford Foundation:null; Intel Foundation:null; Kadokawa Culture Promotion Foundation:null; Knight Foundation:null; Lincoln Laboratory:null; MacArthur Foundation:null; Ministry for the Economy, Development, and Tourism of Chile:null; NASA:null; National Collegiate Inventors and Innovators Alliance:null; National Institutes of Health:null; National Science Foundation:null; New York Stem Cell Foundation:null; Office of Naval Research:null; Open Society Foundations:null; Rehabilitation Institute of Chicago / US Army:null; Rensselaer Polytechnic Institute / US Army:null; SRI International / US Army:null; The Charles Stark Draper Laboratory, Inc:null; The Institution of Engineering and Technology:null; The Joyce Foundation:null; The Simons Foundation:null; The Wellcome Trust:null; University of Cambridge / EC Marie Curie Actions:null; Uniersity of Hohenheim / EC Marie Curie Actions:null; US Army:null; US Veterans Administration:null; Verizon Foundation:null; Armand and Celeste Bartos:null; Benesse Corporation:null; BT:null; Joseph Chung:null; CSK Holdings Corporation:null; Alexander W. Dreyfoos, Jr.:null; Informatix, Inc.:null; The LEGO Group:null; Dorothy Lemelson:null; LG Electronics, Inc.:null; MasterCard International:null; Misawa Homes:null; Motorola, Inc.:null; Masanori Nagashima 1976:null; NEC Corporation:null; Isao Okawa:null; Schlumberger:null; Jeffrey L. Silverman 1968:null; Sony Corporation:null; Swatch AG:null; Telmex:null; Toshiba Corporation:null; Philippe Villers:null",null,2014,"Joi Ito, Ethan Zuckerman",null,"The Asahi Shimbun Company; BT; DENSO; Dentsu-Aegis Network Ltd.; Digital Garage; Hisensee Co. Ltd; Jaguar Land Rover; LG Electronics, Inc.; Panasonic Corporation; RECRUIT; Samsung Electronics Co., Ltd.; SingTel; TCL ultimedia; Toshiba Corporation; 21st Century Fox; APX Labs; Bank of America; Benesse Corporation; Berwind; Bloomberg L.P.; Cisco Systems, Inc.; Colgate-Palmolive; Comcast; Culture Convenience Club Co., LTD.; Deloitte LP; DirecTV; eBay; EMC Corporaton; Fidelity Center for Applied Technology; Fleury; FutureWei Technologies, Inc./Huawei; GlaxoSmithKline; Globo Comunicacao e Participacoes; Google:null; Gucci; Hallmark Cards; Hasbro; Hearst Corporation; Hyundai Motor Company; ICICI Bank; IDEO; Infocast Limited; Intel; Intuit Inc.; Kozo Keikaku Engineering; The LEGO Group; Lockheed Martin; Microsoft; Mitsui & Co; Monex Group; Mori Building Co., Ltd.; Natura; NEC Corporation; New Balance Athletic Shoe, Inc.; News Corporation; Nokia Corporation; Northrop Grumman; Olympus Corporation; Otsuka American Pharmaceutical, Inc.; Pearson Inc.; QUALCOMM Incorporated; RR Donnelley; Saudi Aramco; Shell; Starcom Mediavest Group; State Farm; State of Minas Gerais; Steelcase Inc. Lx.; TED; Telecom Italia; TOPPAN Printing Co., Ltd.; Toyota Motor Corporation; Trends Media Co., Ltd.; Verizon; Volkswagen Group of America, Inc.",http://www.media.mit.edu,null,Budget:45000000,null,null,512,@medialab,203984,Non-Profit
null,CMC Labs,"Tempe, AZ",null,null,null,Jonathan Harris,null,null,null,null,null,null,null,6,null,null,For-Profit
General,Ash Center for Democratic Governance and Innovation,"Cambridge, MA","Amway-China:null; The Andrew W. Mellon Foundation:null; The Annie E. Casey Foundation:null; The Asia Center Harvard University:null; The Atlantic Philanthropies:null; Bank Rakyat Indonesia:null; Biogen Idec:null; Booz Allen Hamilton:null; Charoen Pokphand Group:null; The Chrisopher Reynolds Foundation:null; Daikin Industries, Ltd.:null; Dow Jones & Co.:null; Fannie Mae Foundation:null; The Folger Fund:null; The Ford Foundation:null; Futurist Group:null; The Hefner Collection:null; IBM:null; John S. and James L. Knight Foundation:null; Kansai Electric Power Co., Inc.:null; The Kansai Keizai Doyukai:null; Kawasaki Heavy Industries, Ltd.:null; Living Cities:null; Ministru of Foreign Affairs, Republic of China (Taiwan):null; New World China Enterprises Project, Ltd.:null; Nippon Life Insurance Co.:null; Noblis, Inc.:null; Novartis:null; Obayashi Corporation:null; Osaka Gas Company:null; Rajawali Foundation:null; Rockefeller Foundation:null; Roy and Lila Ash:null; Smith Richardson Foundation:null; The Starr Foundation:null; State Street Corporation:null; Sumitomo Electric Industries, Ltd.:null; Sumitomo Metal Industries, Ltd.:null; Suntory, Ltd.:null; Takenaka Corporation:null; United States Department of State:null; West Japan Railway Company:null; Whitehall Corporation:null",null,null,"Anthony Saich, Hollie Russon-Gilman",Harvard University; Harvard Kennedy School,null,http://www.ash.harvard.edu,null,null,null,null,100,@HarvardAsh,2348,Non-Profit
General,New York City Government,"New York, NY",null,null,null,Bill de Blasio,Government,Microsoft,http://www1.nyc.gov/nyc-resources/categories/civic-services/general-information/index.page,2014,Revenue:75012; Expenses:75012,null,null,null,@nycgov,179103,Government
Data and Transparency,Electronic Frontier Foundation,"San Francisco, CA",Total:7900527,null,2011,"John Perry Barlow, Jonathan Zittrain, Bruce Schneier, Shari Steele",null,Personal Democracy Forum,https://www.eff.org,2011,Revenue:7863584; Expenses:4526793,null,null,68,@EFF,224403,Non-Profit
General,Alex Howard,"Washington, DC",null,null,null,null,Tow Center; Columbia University; Ash Center; O'Reilly Media; TechTarget,null,http://e-pluribusunum.com,null,null,null,null,null,@digiphile,208645,Individual
Smart and Resilient Cities,Votizen,"San Francisco, CA",null,A-Grade Investments:null; Guy Oseary:null; Troy Carter:null; Ashton Kutcher:null; Sean Parker:null; AFSquare:null; Founders Fund:null; 500 Startups:null; Founder Collective:null; Eric Ries:null; SV Angel:null; Steve Blank:null; Shervin Pishevar:null; Tom Shileds:null; Felicis Ventures:null; Keith Rabois:null; David Cowan:null; Mark Goines:null; Total:2250000,"2010, 2012","Semil Shah, Matt Snider, Sean Parker",null,null,http://www.votizen.com,null,null,null,null,2,@votizen,13515,For-Profit
Smart and Resilient Cities,Democracy.com,"New York, NY",null,Fort Point Angels:null; Oleg Uritsky:null; Total: 2000000,"2013, 2014","Talmage Cooley, Heidi Sieck",null,null,http://democracy.com,null,null,null,null,21,@DemocracyCom,930,For-Profit
Smart and Resilient Cities,Nextdoor,"San Francisco, CA",null,SV Angel:null; Greylock Partners:null; Benchmark:null; Pinnacle Ventures:null; Shasta Ventures:null; Allen & Company:null; Duff Ackerman & Goodrich:null; Bezos Expeditions:null; DAG Ventures:null; Greylock Partners:null; Google:null; Kleiner Perkins Caufield & Byers:null; Tiger Global Management:null; Comcast Ventures:null; Greylock Partners:null; Total:100200000,"2012, 2013","Nirav Tolia, Prakash Janakiraman, Sarah Leary",null,null,https://nextdoor.com,null,null,null,null,94,@Nextdoor,8215,For-Profit
21st Century Jobs and Opportunities,Eric Ries,"San Francisco, CA",null,null,null,null,White House; O'Reilly Media,null,http://www.startuplessonslearned.com,null,null,null,null,null,@ericries,174439,Individual
General,O'Reilly Media,"Sebastopol, CA",null,null,null,"Tim O'Reilly, Jesse Robbins, William Janeway",null,Makezine; Maker Faire,http://oreilly.com,null,null,null,null,null,@OReillyMedia,70152,For-Profit
General,18F,null,null,null,null,John Paul Farmer,General Services Administration; Presidential Innovation Fellows,White House,https://18f.gsa.gov,null,null,null,null,null,@18F,1950,Government
General,Omidyar Network,"Redwood City, CA",Total:4941593,null,2012,"Stacy Donohue, Pierre Omidyar",eBay,null,http://www.omidyar.com,2012,Income:29085569,"Alliance for Affordable Internet:null; Amicus:null; Change.org:null; couchsurfing:null; dosomething.org:1500000; GMSA:3650000; healthkart.com:null; Linden Lab:4941593; meetup:5876450; mimoni:null;NationBuilder:null; Neoteny Labs:null; Quikr:null; Range Networks:null; Sovern:null; African Leadership Academy:1500000; Akshara Foundation:950000; Anudip Foundation:650000; Aspiring Minds:null; Bridge International Academies:null; EnglishHelper:null; Kalibrr:null; RLabs:465000; Teach for India:2500000; Tree House:null; BRAC:8275000; Center for Financial Services Innovation:null; Cignifi:null; Consultative Group to Assist the Poor:1500000; Core Innovation Capital:null; Elevar Equity:null25000000; IntelleGrow:null; Kiva:5000000; LeapFrog Investments:null; Lenddo:null; MFX Solutions:9300000; MicroEnsure:null; MicroSave:2000000; Off Grid Electric:null; Prosper:null; Rev:null; SOLIDUS Investment Fund:3700000; Zoona:3700000; Africa Check:250000; African Media Initiative:1700000; Association for Democratic Reforms:3310000; Center for Global Development:1500000; Center for Research and Teaching in Economics:215000; Center on Democracy, Development and the Rule of Law:1035000; Code for America:250000; ePanstwo Foundation:200000; Fundacion Ciudadano Inteligente:500000; Fundar:211000; Global Integrity:2400000; Global Voices:1200000; IMCO:202500; Instituto Cidade Democratic:202500; International Budget Partnerships:null; Janaagraha:3000000; Livity Africa:186000; Media Development Investment Fund:2000000; Meu Rio:475000; Mideast Youth:600000; mySociety:3475000; New Citizen (Centre UA):335000; ONE Campaign:750000; Open Data Institute:750000; Open Government Partnership:1480000; Open Knowledge Foundation:750000; Praekelt Foundation:825000; Project on Government Oversight:1000000; Publica:120000; Sahara Reporters:450000; SeeClickFix:null; Sunlight Foundation:8000000; The XYZ Show:500000; Transparency and Accountability Initiative:583500; Tumml:300000; Ushahidi:1400000; Versa:null; Foundation for Ecological Security:2100000; Institute for Liberty and Democracy:4960000; Landesa:16700000; MicroBuild:null; Red Tierras:685000; Artemisia:null; Endeavor:null; Global Impact Investing Network: 2440000; IGNIA:10000000; Nesta:null; The Bridgespan Group:3500000; d.light design:null; iMerit:null; Song:6000000; Bridges Ventures:null",null,65,@OmidyarNetwork,27572,Non-Profit
General,Alec Ross,null,null,null,null,null,Department of State,null,https://www.facebook.com/alec.ross1,null,null,null,null,null,@AlecJRoss,371933,Individual
General,Department of State,"Washington, DC",null,null,null,"Hillary Clinton, Jared Cohen, Alec Ross",Government; eDiplomacy,null,http://www.state.gov,2012,Budget:50832861,null,null,13000,@StateDept,979482,Government
General,Hillary Clinton,"New York, NY",null,null,null,null,Department of State; Clinton Foundation; White House,null,http://www.clintonfoundation.org,null,null,null,null,null,@HillaryClinton,1589236,Individual
General,Clinton Foundation,"Little Rock, AR",Total:51456352,null,2012,"Bill Clinton, Hillary Clinton, Chelsea Clinton, Katie Dowd",null,null,http://www.clintonfoundation.org,2012,Revenue:54712950; Expenses:58751898,8091488,2012,675,@ClintonFdn,388951,Non-Profit
Data and Transparency,Data and Society Research Institute,"New York, NY",National Science Foundation:null; Microsoft:null; Sloan Foundation:null; MacArthur Foundation:null; Ford Foundation:null; Microsoft Research:null; Robert Wood Johnson Foundation:null,null,"2013, 2014","danah boyd, Anil Dash, John Palfrey, John Borthwick, Catherine Bracy, Brad Burnham, Susan Crawford, Edward Felten, Tarleton Gillespie, Nick Grossman, Joichi Ito, Hilary Mason, Andrew McLaughlin, Deirdre Mulligan, Alondra Nelson, Andrew Rasiej, Gina Neff, Jason Schultz, Clay Shirky, Micah Sifry, Shamina Singh, Baratunde Thurston, Janet A. Vertesi, Christina xu, Ethan Zuckerman",null,null,http://www.datasociety.net,null,null,null,null,24,@data_society,6283,Non-Profit
Data and Transparency,Open Government Partnership,null,Ford Foundation:600000; Hewlett Foundation:840000; Omidyar Network:1000000; Open Society Foundations:800000; Hewlett Foundation:400000; Omidyar Network:400000; Government of Indonesia:200000; Government of Norway:300000; Government of the Philippines:100000; Government of South Africa:100000; Government of the United Kingdom:103000; Government of the United Kingdom:225000; Government of the United Kingdom:452832; Government of Norway:213000; Government of Brazil:169000; Government of South Africa:150000; Government of the Philippines:100000; Government of Mexico:100000; Government of Tanzania:25000; Government of the United States:200000; Government of Norway:187000; Government of Mexico:100000; Government of the United Kingdom:100000; Government of the Philippines:50000,null,"2012, 2013, 2014","Dr. IR. Kuntoro Mangkusubroto, Alejandra Lagunes, Rakesh Rajani, Suneeta Kaimal",null,GovLab,http://www.opengovpartnership.org,2013,Budget:2485716,null,null,36,@opengovpart,16847,Government
Data and Transparency,Open Plans,"New York, NY; Philadelphia, PA",null,null,null,Mark Gorton,null,Alliance for Biking and Walking; Cambridge Systematics; Columbia Daily Tribune; Living Cities; New York City Department of Transportation; Place Matters; Ride Connection; MAS NYC; Alta; City of Chicago; CTDOT; MTA; Metro; PPS; Sam Schwartz Engineering; Sonoran Institute; Baker; City of Philadelphia; Integrated Transport Planning; Nacto; Orton Family Foundation; Public Lab; Sound Transit; TreeKIT; The Boston Globe; City of West Hollywood; Knight Foundation; Nelson Nygaard; The Philadelphia Foundation; Purpose; Tri Met; State of Rhode Island,http://openplans.org,null,null,null,null,12,@OpenPlans,6360,Non-Profit
Data and Transparency,Ushahidi,"Orlando, FL; Kenya",Total:472151,null,2012,"Vidya Spandana, Juliana Rotich",null,White House; Department of State,http://www.ushahidi.com,2012,Revenue:858233; Expenses:189411,null,null,29,@ushahidi,50634,Non-Profit
Smart and Resilient Cities,Challenge Post,"New York, NY",null,Coriolis Ventures:null; betaworks:null; Esther Dyson:null; Richmond Park Partners:null; Joshua Schachter:null; Jason Calacanis:null; Opus Capital:null; Scott Kurnit:null; Steve Wozniak:null; Rose Tech Ventures:null; Jason Calacanis:null; PKS Capital:null; Gerry Campbell:null; Andrew Rasiej:null; Total:4600000,"2009, 2011",Brandon Kessler,null,White House; New York City Economic Development Corporation,http://challengepost.com,null,null,null,null,null,@ChallengePost,3355,For-Profit
